"","sampleID","Age","Sex","BCS","Antibiotics","Glucocorticoids","Cobalamin","Folate","fPLI","fTLI","Group","SubGroup","NonGI_COMORBID","GI_COMORBID_HISTO","3-indoleacetic acid","3-indolepropionic acid","Indole acetamide","Indole acrylate","indole-3-lactic acid","Indole-3-pyruvate","Indole-carboxyaldehyde","Kynurenine","Kynurenic acid","Serotonin","Tryptamine","Trp"
"sam_110","sam_110",5,"MN",4,"NO","NO",335,13.6,1.4,5.2,"EPI","EPI","","NO",249.9,36.8,1.4,414.3,40.1,1121.1,18.6,962.4,9.4,2308.9,"5.4",8040.8
"sam_111","sam_111",12,"FS",6,"NO","NO",419,29.8,15.4,60,"FCE","SCL","CKD","NO",246.4,26.1,1.4,480.6,114,1120.5,22.2,1385.3,17.2,939.4,"3.6",9310.6
"sam_112","sam_112",12,"MN",5,"NO","NO",150,26.4,5.8,50,"FCE","SCL","CKD","PANC",1946.7,28.9,1.4,302.5,50.3,1151,12.1,1610.8,7.5,1276.2,"4.1",5370.8
"sam_113","sam_113",9,"FS",5,"NO","YES",441,28.3,6.3,49.7,"FCE","SCL","","ILD",834,58.3,1.4,526.8,100.8,1120,22.4,1400.1,18,1152.6,"3.8",8869.9
"sam_114","sam_114",11,"FS",4,"NO","NO",358,15.4,4.6,39.8,"FCE","SCL","CKD_HT4","ILD",1528.3,88.1,1.4,578.8,92.6,1108.4,23.9,1537.8,13.8,1991.5,"4.8",10163.7
"sam_115","sam_115",9,"MN",5,"YES","NO",1000,9.87,1.6,16.8,"FCE","SCL","CKD","ILD",195.6,13,1.3,358.1,110.5,1139.7,16.2,1201.9,8.3,899.5,"3.5",6926.7
"sam_116","sam_116",15,"MN",5,"NO","NO",NA,26.7,3.8,34.8,"FCE","CIE","CKD","PANC",1935.9,151.2,1.5,462.1,126.1,1141.8,19.5,2084.6,25.6,1781.4,"4.5",8709.3
"sam_117","sam_117",12,"FS",4,"NO","NO",523,24.3,14.5,231,"FCE","CIE","CKD","NO",3219.3,312.1,2.1,307.7,691.7,1134.4,12.8,1571.1,78.2,1068.2,"4",5837.5
"sam_118","sam_118",14,"FS",3,"NO","NO",196,NA,2.3,53.2,"FCE","CIE","CKD","ILD",160.6,25.4,1.4,645.8,137.1,1116.8,29.5,1187.5,4.6,675.3,"3.5",12571
"sam_119","sam_119",11,"FS",4,"NO","NO",150,15.7,2.4,87.8,"FCE","SCL","HT4","PANC",518.4,14.3,1.4,435.8,49.7,1119.2,18.8,1197.8,9.1,2071.5,"4.8",8409.7
"sam_120","sam_120",16,"MN",4,"NO","NO",168,13.3,8.3,48,"FCE","CIE","","NO",119.4,17.3,1.4,334.3,75.5,1099.6,13.8,1262.8,10.4,741.5,"3.4",6244.7
"sam_121","sam_121",12,"MN",6,"NO","NO",951,11.7,8.2,39.9,"FCE","SCL","","NO",222.9,42.6,1.3,363,88.4,1101.7,16.3,1001.4,6.5,877.2,"3.5",6959.9
"sam_122","sam_122",10,"FS",4,"NO","YES",NA,NA,11.1,116.3,"FCE","SCL","","NO",364.3,29.2,1.4,175.3,46.8,1169,7,1973.2,6,777.7,"3.3",3451.7
"sam_123","sam_123",15,"FS",4,"NO","NO",150,12,1,0.1,"EPI","EPI","","NO",85.7,25,1.6,733.3,334.7,1180.4,29.5,1057.9,4,3461.7,"6.1",13420.5
"sam_124","sam_124",12,"FS",4,"YES","NO",548,11,35.6,138,"FCE","CIE","","ILD_PANC",117.6,92.5,1.4,516.8,144.5,1091.4,22.6,1323,9.6,2120.4,"5",10347.2
"sam_125","sam_125",7,"FS",5,"NO","NO",523,18.5,2.9,31.6,"FCE","CIE","","NO",523.7,36.6,1.5,847.7,270.8,1230.8,37.5,1111.1,9.3,2385.1,"4.9",15749.8
"sam_126","sam_126",8,"FS",3,"NO","NO",829,17.7,2.7,35.3,"FCE","CIE","","ILD",578.5,25.3,1.5,458.3,72.4,1116.6,20,580.4,3.7,368.9,"2.7",9136.1
"sam_127","sam_127",13,"FS",3,"YES","NO",660,13.5,3.4,36.7,"FCE","CIE","CKD","ILD",662.5,19.9,1.4,562.1,435.7,1105.1,22.8,938.7,16.2,1017.5,"3.5",9614.6
"sam_128","sam_128",14,"FS",4,"NO","NO",NA,NA,5.9,61.2,"FCE","SCL","","NO",103.8,24.8,1.3,217.4,42.1,1122.1,8.6,1578.3,13.8,1029.5,"3.6",4130.3
"sam_129","sam_129",11,"FS",4,"NO","NO",1000,25.2,2.3,78.2,"FCE","SCL","CKD","NO",835.6,601.7,1.4,538.9,120.2,1161.9,23.8,1539.4,14,760.7,"3.4",10562.1
"sam_130","sam_130",11,"FS",5,"NO","NO",338,16.2,1,27.1,"FCE","CIE","","ILD",266.9,16.6,1.4,482.4,76.7,1154.6,18.9,1222.4,12.5,640.9,"3.1",8412.6
"sam_131","sam_131",10,"FS",7,"NO","NO",449,13.8,5.5,42.9,"FCE","SCL","","NO",205.9,18.9,1.4,481.8,131.2,1102,22.4,1134.3,10.1,1171.6,"3.8",9514.2
"sam_132","sam_132",17,"MN",4,"NO","NO",NA,NA,2.9,78.5,"FCE","CIE","","ILD",174.9,18,1.4,396.8,264.2,1128.7,17.2,1281.9,13.7,450.6,"2.8",7715.4
"sam_133","sam_133",4,"FS",6,"NO","NO",998,13.3,1.4,15.9,"FCE","CIE","CKD","NO",249.4,26.7,1.4,676.6,223.2,1129.8,28.1,863.5,10.4,975,"3.5",12235
"sam_134","sam_134",15,"FS",3,"NO","NO",NA,NA,5.5,97.7,"FCE","SCL","","NO",683,34.9,1.4,551.2,159.2,1152.8,22.6,989.1,13.7,879.7,"3.5",9914.5
"sam_135","sam_135",14,"FS",5,"NO","NO",NA,NA,3,77.7,"FCE","SCL","","NO",205.2,112.3,1.4,455.2,97.4,1108,19.3,802.7,5,615.5,"3.2",8498.4
"sam_136","sam_136",6,"FS",6,"NO","NO",743,9.51,1,29.4,"FCE","CIE","","NO",310.3,28.7,1.4,638.6,258.2,1111.5,29,513,6,670.6,"3.2",12093.6
"sam_137","sam_137",11,"FS",5,"NO","NO",449,5.2,4.5,79.2,"FCE","CIE","","ILD",131.2,80.4,1.4,798.2,495.5,1387.2,32.7,1566.4,10.1,12.8,"2.3",14007.1
